OSS;NUMERO_ISCRIZIONE_RUI_PF;NUMERO_ISCRIZIONE_RUI_PG;QUALIFICA_INTERMEDIARIO;RESPONSABILE
44;A000073202;A000519373;Responsabile dell'attività di intermediazione;
45;A000010544;A000172410;Responsabile dell'attività di intermediazione;
46;A000068557;A000491455;Responsabile dell'attività di intermediazione;
47;A000038005;A000377739;Responsabile dell'attività di intermediazione;
48;A000129487;A000617301;Responsabile dell'attività di intermediazione;
49;B000013891;B000144061;Responsabile dell'attività di intermediazione;
50;B000082089;B000073708;Responsabile dell'attività di intermediazione;
51;A000100712;A000635013;Responsabile dell'attività di intermediazione;
52;A000115439;A000754303;Responsabile dell'attività di intermediazione;
53;A000054722;A000554882;Responsabile dell'attività di intermediazione;
54;A000134015;A000119615;Responsabile dell'attività di intermediazione;
55;A000011482;A000012947;Responsabile dell'attività di intermediazione;
56;A000011335;A000502878;Responsabile dell'attività di intermediazione;
57;A000011643;A000550886;Responsabile dell'attività di intermediazione;
58;A000050207;A000703708;Responsabile dell'attività di intermediazione;
59;B000038502;B000737573;Responsabile dell'attività di intermediazione;
60;A000039315;A000583339;Responsabile dell'attività di intermediazione;
61;A000062665;A000407357;Responsabile dell'attività di intermediazione;
62;A000129547;A000769052;Responsabile dell'attività di intermediazione;
63;A000160666;A000768257;Responsabile dell'attività di intermediazione;
64;B000059514;B000551109;Responsabile dell'attività di intermediazione;
65;B000073808;B000266085;Responsabile dell'attività di intermediazione;
66;B000073808;B000312804;Rappresentante Legale;
67;B000001180;B000429474;Responsabile dell'attività di intermediazione;
68;A000002597;A000334428;Responsabile dell'attività di intermediazione;
69;A000001207;A000775223;Responsabile dell'attività di intermediazione;
70;A000004293;A000566981;Responsabile dell'attività di intermediazione;
71;B000002622;B000511305;Responsabile dell'attività di intermediazione;
72;A000029544;A000699878;Responsabile dell'attività di intermediazione;
73;A000621765;A000621893;Responsabile dell'attività di intermediazione;
74;A000148165;A000148164;Responsabile dell'attività di intermediazione;
75;A000000133;A000661474;Responsabile dell'attività di intermediazione;
76;A000002089;A000011984;Responsabile dell'attività di intermediazione;
77;A000004831;A000116935;Responsabile dell'attività di intermediazione;
78;A000003754;A000623269;Responsabile dell'attività di intermediazione;
79;A000005199;A000664276;Responsabile dell'attività di intermediazione;
80;B000055824;B000539459;Rappresentante Legale;
81;B000091235;B000118374;Rappresentante Legale;
82;A000121764;A000363334;Responsabile dell'attività di intermediazione;
83;A000157813;A000517055;Responsabile dell'attività di intermediazione;
84;A000006420;A000556559;Responsabile dell'attività di intermediazione;
85;A000003440;A000599643;Responsabile dell'attività di intermediazione;
86;A000002687;A000690963;Responsabile dell'attività di intermediazione;
87;B000714235;B000323983;Responsabile dell'attività di intermediazione;
88;A000160979;A000162399;Responsabile dell'attività di intermediazione;
89;A000108860;A000640175;Responsabile dell'attività di intermediazione;
90;A000005645;A000587366;Responsabile dell'attività di intermediazione;
91;A000641483;A000664292;Responsabile dell'attività di intermediazione;
92;A000039162;A000012485;Responsabile dell'attività di intermediazione;
93;A000069822;A000069821;Responsabile dell'attività di intermediazione;
94;A000005263;A000358643;Responsabile dell'attività di intermediazione;
95;A000118296;A000342615;Responsabile dell'attività di intermediazione;
96;A000004794;A000172445;Responsabile dell'attività di intermediazione;
97;A000085291;A000085289;Responsabile dell'attività di intermediazione;
98;A000009020;A000277343;Responsabile dell'attività di intermediazione;
99;A000779592;A000701617;Responsabile dell'attività di intermediazione;
100;A000082184;A000775154;Responsabile dell'attività di intermediazione;
101;B000192240;B000548272;Rappresentante Legale;
102;A000731897;A000716989;Responsabile dell'attività di intermediazione;
103;A000613239;A000612783;Responsabile dell'attività di intermediazione;
104;A000683305;A000183417;Responsabile dell'attività di intermediazione;
105;A000763290;A000766913;Responsabile dell'attività di intermediazione;
106;B000203377;B000121410;Rappresentante Legale;
107;B000203247;B000762006;Responsabile dell'attività di intermediazione;
108;A000589945;A000791009;Responsabile dell'attività di intermediazione;
109;A000265232;A000810201;Responsabile dell'attività di intermediazione;
110;A000003284;A000561587;Responsabile dell'attività di intermediazione;
111;A000765348;A000767253;Responsabile dell'attività di intermediazione;
112;A000771199;A000772252;Responsabile dell'attività di intermediazione;
113;A000205403;A000790513;Responsabile dell'attività di intermediazione;
114;B000654207;B000054892;Responsabile dell'attività di intermediazione;
115;A000107786;A000413408;Responsabile dell'attività di intermediazione;
116;A000028375;A000594182;Responsabile dell'attività di intermediazione;
117;A000139815;A000012219;Responsabile dell'attività di intermediazione;
118;B000161552;B000123419;Amministratore Delegato;
119;A000108610;A000480433;Responsabile dell'attività di intermediazione;
120;A000055753;A000548635;Responsabile dell'attività di intermediazione;
121;B000190066;B000055861;Responsabile dell'attività di intermediazione;
122;A000542462;A000630409;Responsabile dell'attività di intermediazione;
123;A000046475;A000458870;Responsabile dell'attività di intermediazione;
124;A000056059;A000394773;Responsabile dell'attività di intermediazione;
125;A000181822;A000696058;Responsabile dell'attività di intermediazione;
126;A000250067;A000157653;Responsabile dell'attività di intermediazione;
127;A000306669;A000607877;Responsabile dell'attività di intermediazione;
128;B000430566;B000306598;Responsabile dell'attività di intermediazione;
129;B000713620;B000533295;Rappresentante Legale;
130;A000643688;A000011889;Responsabile dell'attività di intermediazione;
131;A000100412;A000100396;Responsabile dell'attività di intermediazione;
132;A000181676;A000684165;Responsabile dell'attività di intermediazione;
133;A000181695;A000181985;Responsabile dell'attività di intermediazione;
134;A000082423;A000111348;Responsabile dell'attività di intermediazione;
135;A000154200;A000167694;Responsabile dell'attività di intermediazione;
136;A000101529;A000114999;Responsabile dell'attività di intermediazione;
137;A000117662;A000117603;Responsabile dell'attività di intermediazione;
138;A000134335;A000529577;Responsabile dell'attività di intermediazione;
139;A000068671;A000099305;Responsabile dell'attività di intermediazione;
140;A000068679;A000068691;Responsabile dell'attività di intermediazione;
141;A000168382;A000173831;Responsabile dell'attività di intermediazione;
142;A000009976;A000192219;Responsabile dell'attività di intermediazione;
143;A000082090;A000721675;Responsabile dell'attività di intermediazione;
144;A000085188;A000118176;Responsabile dell'attività di intermediazione;
145;A000101114;A000657607;Responsabile dell'attività di intermediazione;
146;A000068246;A000068231;Responsabile dell'attività di intermediazione;
147;A000174117;A000169454;Responsabile dell'attività di intermediazione;
148;A000165039;A000540879;Responsabile dell'attività di intermediazione;
149;A000160610;A000273144;Responsabile dell'attività di intermediazione;
150;A000165230;A000366712;Responsabile dell'attività di intermediazione;
151;A000165239;A000185422;Responsabile dell'attività di intermediazione;
152;A000164933;A000158952;Responsabile dell'attività di intermediazione;
153;A000067077;A000067075;Responsabile dell'attività di intermediazione;
154;A000133980;A000133060;Responsabile dell'attività di intermediazione;
155;A000117600;A000762778;Responsabile dell'attività di intermediazione;
156;A000009486;A000231659;Responsabile dell'attività di intermediazione;
157;A000076399;A000498646;Responsabile dell'attività di intermediazione;
158;A000076415;A000076407;Responsabile dell'attività di intermediazione;
159;A000181643;A000162855;Responsabile dell'attività di intermediazione;
160;A000114800;A000263498;Responsabile dell'attività di intermediazione;
161;A000036947;A000317554;Responsabile dell'attività di intermediazione;
162;A000127466;A000108956;Responsabile dell'attività di intermediazione;
163;B000180981;B000620030;Rappresentante Legale;
164;A000140024;A000565758;Responsabile dell'attività di intermediazione;
165;A000140035;A000631466;Responsabile dell'attività di intermediazione;
166;A000144258;A000135855;Responsabile dell'attività di intermediazione;
167;A000100754;A000694454;Responsabile dell'attività di intermediazione;
168;A000118991;A000696358;Responsabile dell'attività di intermediazione;
169;A000118992;A000541370;Responsabile dell'attività di intermediazione;
170;A000124691;A000071387;Responsabile dell'attività di intermediazione;
171;A000162179;A000167670;Responsabile dell'attività di intermediazione;
172;A000059015;A000081481;Responsabile dell'attività di intermediazione;
173;A000083813;A000083816;Responsabile dell'attività di intermediazione;
174;A000083883;A000052743;Responsabile dell'attività di intermediazione;
175;A000126677;A000730918;Responsabile dell'attività di intermediazione;
176;A000064863;A000065048;Responsabile dell'attività di intermediazione;
177;A000100813;A000100916;Responsabile dell'attività di intermediazione;
178;A000084150;A000062480;Responsabile dell'attività di intermediazione;
179;A000073143;A000073041;Responsabile dell'attività di intermediazione;
180;A000143644;A000166498;Responsabile dell'attività di intermediazione;
181;A000075704;A000279770;Responsabile dell'attività di intermediazione;
182;A000126708;A000669429;Responsabile dell'attività di intermediazione;
183;A000126729;A000126760;Responsabile dell'attività di intermediazione;
184;A000169699;A000183510;Responsabile dell'attività di intermediazione;
185;A000154085;A000154103;Responsabile dell'attività di intermediazione;
186;A000154228;A000154759;Responsabile dell'attività di intermediazione;
187;A000164859;A000172210;Responsabile dell'attività di intermediazione;
188;A000164873;A000400856;Responsabile dell'attività di intermediazione;
189;A000009964;A000670338;Responsabile dell'attività di intermediazione;
190;A000132810;A000151855;Responsabile dell'attività di intermediazione;
191;A000098419;A000706655;Responsabile dell'attività di intermediazione;
192;A000097334;A000080556;Responsabile dell'attività di intermediazione;
193;A000117344;A000117015;Responsabile dell'attività di intermediazione;
194;A000068291;A000068276;Responsabile dell'attività di intermediazione;
195;A000072426;A000072457;Responsabile dell'attività di intermediazione;
196;A000072467;A000072479;Responsabile dell'attività di intermediazione;
197;A000050793;A000231643;Responsabile dell'attività di intermediazione;
198;A000099839;A000482462;Responsabile dell'attività di intermediazione;
199;A000114971;A000383806;Responsabile dell'attività di intermediazione;
200;A000117281;A000648978;Responsabile dell'attività di intermediazione;
201;A000099935;A000547011;Responsabile dell'attività di intermediazione;
202;A000127065;A000098404;Responsabile dell'attività di intermediazione;
203;A000134372;A000184699;Responsabile dell'attività di intermediazione;
204;A000085823;A000085781;Responsabile dell'attività di intermediazione;
205;A000061550;A000052647;Responsabile dell'attività di intermediazione;
206;A000086727;A000338481;Responsabile dell'attività di intermediazione;
207;A000086754;A000390769;Responsabile dell'attività di intermediazione;
208;A000086769;A000097423;Responsabile dell'attività di intermediazione;
209;A000199618;A000164211;Responsabile dell'attività di intermediazione;
210;A000100341;A000759325;Responsabile dell'attività di intermediazione;
211;A000117326;A000774509;Responsabile dell'attività di intermediazione;
212;A000156219;A000166835;Responsabile dell'attività di intermediazione;
213;A000156231;A000755247;Responsabile dell'attività di intermediazione;
214;A000068117;A000066252;Responsabile dell'attività di intermediazione;
215;A000066155;A000406749;Responsabile dell'attività di intermediazione;
216;A000620362;A000124215;Responsabile dell'attività di intermediazione;
217;A000170399;A000162259;Responsabile dell'attività di intermediazione;
218;A000165785;A000217739;Responsabile dell'attività di intermediazione;
219;A000100033;A000644308;Responsabile dell'attività di intermediazione;
220;A000127433;A000104171;Responsabile dell'attività di intermediazione;
221;A000083707;A000131890;Responsabile dell'attività di intermediazione;
222;A000183752;A000154667;Responsabile dell'attività di intermediazione;
223;A000145148;A000522369;Responsabile dell'attività di intermediazione;
224;A000097258;A000086285;Responsabile dell'attività di intermediazione;
225;A000099696;A000496165;Responsabile dell'attività di intermediazione;
226;A000128465;A000070067;Responsabile dell'attività di intermediazione;
227;A000170199;A000537003;Responsabile dell'attività di intermediazione;
228;A000054923;A000271456;Responsabile dell'attività di intermediazione;
229;A000086695;A000790526;Responsabile dell'attività di intermediazione;
230;A000071608;A000072133;Responsabile dell'attività di intermediazione;
231;A000128232;A000121212;Responsabile dell'attività di intermediazione;
232;A000138327;A000250534;Responsabile dell'attività di intermediazione;
233;B000007686;B000671254;Responsabile dell'attività di intermediazione;
234;A000010716;A000719470;Responsabile dell'attività di intermediazione;
235;A000037387;A000694669;Responsabile dell'attività di intermediazione;
236;A000081848;A000065145;Responsabile dell'attività di intermediazione;
237;A000127851;A000386001;Responsabile dell'attività di intermediazione;
238;A000055809;A000342664;Responsabile dell'attività di intermediazione;
239;A000052328;A000111338;Responsabile dell'attività di intermediazione;
240;A000052328;A000052644;Responsabile dell'attività di intermediazione;
241;A000097437;A000097533;Responsabile dell'attività di intermediazione;
242;A000097438;A000085106;Responsabile dell'attività di intermediazione;
243;A000097451;A000421459;Responsabile dell'attività di intermediazione;
244;A000156121;A000312227;Responsabile dell'attività di intermediazione;
245;A000085387;A000085539;Responsabile dell'attività di intermediazione;
246;A000126476;A000322869;Responsabile dell'attività di intermediazione;
247;A000071668;A000072648;Responsabile dell'attività di intermediazione;
248;A000126889;A000343924;Responsabile dell'attività di intermediazione;
249;A000115278;A000599405;Responsabile dell'attività di intermediazione;
250;A000133867;A000625040;Responsabile dell'attività di intermediazione;
251;A000117437;A000735675;Responsabile dell'attività di intermediazione;
252;A000082296;A000234518;Responsabile dell'attività di intermediazione;
253;A000185402;A000591614;Responsabile dell'attività di intermediazione;
254;A000069458;A000066076;Responsabile dell'attività di intermediazione;
255;A000058796;A000234582;Responsabile dell'attività di intermediazione;
256;A000128157;A000558018;Responsabile dell'attività di intermediazione;
257;A000100164;A000061503;Responsabile dell'attività di intermediazione;
258;A000085606;A000258789;Responsabile dell'attività di intermediazione;
259;A000069033;A000343780;Responsabile dell'attività di intermediazione;
260;A000064960;A000011916;Responsabile dell'attività di intermediazione;
261;A000065648;A000066041;Responsabile dell'attività di intermediazione;
262;A000086763;A000086764;Responsabile dell'attività di intermediazione;
263;A000128155;A000558018;Responsabile dell'attività di intermediazione;
264;A000146334;A000137543;Responsabile dell'attività di intermediazione;
265;A000086723;A000085058;Responsabile dell'attività di intermediazione;
266;A000069513;A000060704;Responsabile dell'attività di intermediazione;
267;A000076994;A000077012;Responsabile dell'attività di intermediazione;
268;A000062352;A000640999;Responsabile dell'attività di intermediazione;
269;A000164523;A000121007;Responsabile dell'attività di intermediazione;
270;A000096810;A000116779;Responsabile dell'attività di intermediazione;
271;A000144001;A000781613;Responsabile dell'attività di intermediazione;
272;A000053825;A000319775;Responsabile dell'attività di intermediazione;
273;A000039522;A000058114;Responsabile dell'attività di intermediazione;
274;A000072355;A000072494;Responsabile dell'attività di intermediazione;
275;A000038030;A000741996;Responsabile dell'attività di intermediazione;
276;A000064974;A000556501;Responsabile dell'attività di intermediazione;
277;A000187328;A000173937;Responsabile dell'attività di intermediazione;
278;A000186305;A000165910;Responsabile dell'attività di intermediazione;
279;A000197169;A000065781;Responsabile dell'attività di intermediazione;
280;A000139044;A000068930;Responsabile dell'attività di intermediazione;
281;A000052679;A000058092;Responsabile dell'attività di intermediazione;
282;B000728369;B000729599;Responsabile dell'attività di intermediazione;
283;A000144484;A000124453;Responsabile dell'attività di intermediazione;
284;A000147044;A000147048;Responsabile dell'attività di intermediazione;
285;A000010814;A000231735;Responsabile dell'attività di intermediazione;
286;A000010732;A000377664;Responsabile dell'attività di intermediazione;
287;A000072707;A000190187;Responsabile dell'attività di intermediazione;
288;A000187611;A000538627;Responsabile dell'attività di intermediazione;
289;A000115910;A000360155;Responsabile dell'attività di intermediazione;
290;A000071964;A000308056;Responsabile dell'attività di intermediazione;
291;A000063558;A000063415;Responsabile dell'attività di intermediazione;
292;A000170157;A000155086;Responsabile dell'attività di intermediazione;
293;A000185560;A000185530;Responsabile dell'attività di intermediazione;
294;A000054979;A000258496;Responsabile dell'attività di intermediazione;
295;B000086340;B000511269;Rappresentante Legale;
296;A000099417;A000098205;Responsabile dell'attività di intermediazione;
297;A000100010;A000119404;Responsabile dell'attività di intermediazione;
298;A000086304;A000086269;Responsabile dell'attività di intermediazione;
299;A000186938;A000058844;Responsabile dell'attività di intermediazione;
300;A000144152;A000592926;Responsabile dell'attività di intermediazione;
301;B000617433;B000536513;Amministratore Delegato;
302;A000053097;A000073398;Responsabile dell'attività di intermediazione;
303;A000100724;A000150386;Responsabile dell'attività di intermediazione;
304;B000127548;B000444653;Responsabile dell'attività di intermediazione;
305;A000169036;A000727354;Responsabile dell'attività di intermediazione;
306;A000180980;A000294418;Responsabile dell'attività di intermediazione;
307;A000063507;A000670558;Responsabile dell'attività di intermediazione;
308;A000063527;A000063904;Responsabile dell'attività di intermediazione;
309;A000010683;A000122672;Responsabile dell'attività di intermediazione;
310;A000081730;A000097082;Responsabile dell'attività di intermediazione;
311;A000069469;A000747350;Responsabile dell'attività di intermediazione;
312;A000011090;A000455553;Responsabile dell'attività di intermediazione;
313;A000147671;A000315997;Responsabile dell'attività di intermediazione;
314;A000011068;A000317650;Responsabile dell'attività di intermediazione;
315;A000086762;A000086764;Responsabile dell'attività di intermediazione;
316;A000164080;A000651246;Responsabile dell'attività di intermediazione;
317;A000066822;A000111074;Responsabile dell'attività di intermediazione;
318;B000128163;B000606500;Responsabile dell'attività di intermediazione;
319;A000192469;A000672372;Responsabile dell'attività di intermediazione;
320;A000100287;A000185422;Responsabile dell'attività di intermediazione;
321;A000100294;A000273438;Responsabile dell'attività di intermediazione;
322;A000181775;A000482510;Responsabile dell'attività di intermediazione;
323;A000001506;A000466262;Responsabile dell'attività di intermediazione;
324;A000001506;A000781603;Responsabile dell'attività di intermediazione;
325;A000141659;A000231633;Responsabile dell'attività di intermediazione;
326;A000185491;A000400379;Responsabile dell'attività di intermediazione;
327;A000181832;A000124532;Responsabile dell'attività di intermediazione;
328;A000037107;A000452697;Responsabile dell'attività di intermediazione;
329;A000185556;A000580537;Responsabile dell'attività di intermediazione;
330;A000128099;A000403786;Responsabile dell'attività di intermediazione;
331;A000116380;A000616937;Responsabile dell'attività di intermediazione;
332;A000156661;A000137994;Responsabile dell'attività di intermediazione;
333;A000164480;A000135281;Responsabile dell'attività di intermediazione;
334;A000190265;A000391441;Responsabile dell'attività di intermediazione;
335;A000185581;A000168882;Responsabile dell'attività di intermediazione;
336;A000127587;A000499972;Responsabile dell'attività di intermediazione;
337;A000100255;A000108574;Responsabile dell'attività di intermediazione;
338;A000186462;A000088912;Responsabile dell'attività di intermediazione;
339;A000011489;A000012779;Responsabile dell'attività di intermediazione;
340;A000085590;A000085589;Responsabile dell'attività di intermediazione;
341;A000127884;A000127895;Responsabile dell'attività di intermediazione;
342;A000192296;A000442050;Responsabile dell'attività di intermediazione;
343;B000058809;B000618978;Rappresentante Legale;
344;A000067695;A000705246;Responsabile dell'attività di intermediazione;
345;A000086119;A000064790;Responsabile dell'attività di intermediazione;
346;A000186998;A000141957;Responsabile dell'attività di intermediazione;
347;A000057561;A000113756;Responsabile dell'attività di intermediazione;
348;A000050839;A000282662;Responsabile dell'attività di intermediazione;
349;A000130048;A000781032;Responsabile dell'attività di intermediazione;
350;A000173569;A000241548;Responsabile dell'attività di intermediazione;
351;A000071685;A000267077;Responsabile dell'attività di intermediazione;
352;A000165440;A000508402;Responsabile dell'attività di intermediazione;
353;A000008103;A000057355;Responsabile dell'attività di intermediazione;
354;A000001342;A000651339;Responsabile dell'attività di intermediazione;
355;A000006135;A000707591;Responsabile dell'attività di intermediazione;
356;A000145870;A000593026;Responsabile dell'attività di intermediazione;
357;A000165730;A000314723;Responsabile dell'attività di intermediazione;
358;A000007505;A000354403;Responsabile dell'attività di intermediazione;
359;A000002635;A000682731;Responsabile dell'attività di intermediazione;
360;A000010561;A000511524;Responsabile dell'attività di intermediazione;
361;A000298448;A000109724;Responsabile dell'attività di intermediazione;
362;A000075644;A000267006;Responsabile dell'attività di intermediazione;
363;B000113975;B000190757;Responsabile dell'attività di intermediazione;
364;A000182393;A000447394;Responsabile dell'attività di intermediazione;
365;A000037380;A000234221;Responsabile dell'attività di intermediazione;
366;B000028824;B000557579;Rappresentante Legale;
367;A000181925;A000256653;Responsabile dell'attività di intermediazione;
368;A000060351;A000060298;Responsabile dell'attività di intermediazione;
369;A000169628;A000252835;Responsabile dell'attività di intermediazione;
370;A000100954;A000100854;Responsabile dell'attività di intermediazione;
371;A000137128;A000711764;Responsabile dell'attività di intermediazione;
372;A000172141;A000323243;Responsabile dell'attività di intermediazione;
373;A000096693;A000097454;Responsabile dell'attività di intermediazione;
374;A000061420;A000103921;Responsabile dell'attività di intermediazione;
375;A000126622;A000127111;Responsabile dell'attività di intermediazione;
376;B000073747;B000116331;Responsabile dell'attività di intermediazione;
377;A000055487;A000109174;Responsabile dell'attività di intermediazione;
378;A000180085;A000273195;Responsabile dell'attività di intermediazione;
379;A000172531;A000185539;Responsabile dell'attività di intermediazione;
380;A000179751;A000167259;Responsabile dell'attività di intermediazione;
381;A000010029;A000231667;Responsabile dell'attività di intermediazione;
382;A000165736;A000179160;Responsabile dell'attività di intermediazione;
383;A000317677;A000231930;Responsabile dell'attività di intermediazione;
384;A000153607;A000550330;Responsabile dell'attività di intermediazione;
385;B000119499;B000548638;Responsabile dell'attività di intermediazione;
386;A000084992;A000647231;Responsabile dell'attività di intermediazione;
387;A000734444;A000734817;Responsabile dell'attività di intermediazione;
388;A000667347;A000674005;Responsabile dell'attività di intermediazione;
389;A000253756;A000091492;Responsabile dell'attività di intermediazione;
390;A000072323;A000181525;Responsabile dell'attività di intermediazione;
391;A000133869;A000140116;Responsabile dell'attività di intermediazione;
392;A000055490;A000570417;Responsabile dell'attività di intermediazione;
393;A000052967;A000012982;Responsabile dell'attività di intermediazione;
394;A000124519;A000790508;Responsabile dell'attività di intermediazione;
395;A000146877;A000447215;Responsabile dell'attività di intermediazione;
396;B000006786;B000427706;Amministratore Delegato;
397;A000068443;A000290643;Responsabile dell'attività di intermediazione;
398;A000068443;A000637090;Responsabile dell'attività di intermediazione;
399;A000052561;A000327886;Responsabile dell'attività di intermediazione;
400;A000169867;A000159430;Responsabile dell'attività di intermediazione;
401;A000116540;A000081481;Responsabile dell'attività di intermediazione;
402;A000050156;A000187166;Responsabile dell'attività di intermediazione;
403;A000172575;A000451717;Responsabile dell'attività di intermediazione;
404;A000317043;A000137322;Responsabile dell'attività di intermediazione;
405;A000173830;A000181015;Responsabile dell'attività di intermediazione;
406;B000156037;B000014339;Responsabile dell'attività di intermediazione;
407;A000001375;A000012688;Responsabile dell'attività di intermediazione;
408;A000082356;A000082556;Responsabile dell'attività di intermediazione;
409;A000163118;A000138539;Responsabile dell'attività di intermediazione;
410;A000008686;A000630541;Responsabile dell'attività di intermediazione;
411;A000182228;A000484576;Responsabile dell'attività di intermediazione;
412;A000001373;A000599844;Responsabile dell'attività di intermediazione;
413;A000008140;A000066552;Responsabile dell'attività di intermediazione;
414;A000010114;A000012249;Responsabile dell'attività di intermediazione;
415;A000098582;A000318349;Responsabile dell'attività di intermediazione;
416;A000027585;A000368193;Responsabile dell'attività di intermediazione;
417;A000073741;A000385877;Responsabile dell'attività di intermediazione;
418;A000001822;A000011959;Responsabile dell'attività di intermediazione;
419;A000273161;A000103556;Responsabile dell'attività di intermediazione;
420;A000129629;A000287959;Responsabile dell'attività di intermediazione;
421;A000319825;A000342652;Responsabile dell'attività di intermediazione;
422;A000003752;A000373471;Responsabile dell'attività di intermediazione;
423;A000091241;A000772254;Responsabile dell'attività di intermediazione;
424;A000010047;A000059042;Responsabile dell'attività di intermediazione;
425;A000334121;A000381078;Responsabile dell'attività di intermediazione;
426;A000334121;A000748635;Responsabile dell'attività di intermediazione;
427;A000009619;A000265176;Responsabile dell'attività di intermediazione;
428;A000062955;A000634432;Responsabile dell'attività di intermediazione;
429;A000058640;A000485468;Responsabile dell'attività di intermediazione;
430;A000001624;A000187718;Responsabile dell'attività di intermediazione;
431;A000090533;A000090544;Responsabile dell'attività di intermediazione;
432;A000074077;A000075370;Responsabile dell'attività di intermediazione;
433;A000179177;A000224673;Responsabile dell'attività di intermediazione;
434;A000756751;A000312016;Responsabile dell'attività di intermediazione;
435;A000077909;A000187127;Responsabile dell'attività di intermediazione;
436;A000003240;A000331634;Responsabile dell'attività di intermediazione;
437;A000288535;A000067483;Responsabile dell'attività di intermediazione;
438;A000332228;A000709761;Responsabile dell'attività di intermediazione;
439;A000327785;A000011708;Responsabile dell'attività di intermediazione;
440;A000165733;A000179160;Responsabile dell'attività di intermediazione;
441;A000108881;A000107996;Responsabile dell'attività di intermediazione;
442;A000071394;A000154762;Responsabile dell'attività di intermediazione;
443;A000010065;A000012925;Responsabile dell'attività di intermediazione;
444;A000081054;A000464752;Responsabile dell'attività di intermediazione;
445;B000186564;B000180506;Responsabile dell'attività di intermediazione;
446;B000186622;B000066860;Rappresentante Legale;
447;B000010216;B000014431;Responsabile dell'attività di intermediazione;
448;B000010393;B000048943;Rappresentante Legale;
449;B000133131;B000114899;Responsabile dell'attività di intermediazione;
450;B000069035;B000066931;Responsabile dell'attività di intermediazione;
451;B000009458;B000058833;Responsabile dell'attività di intermediazione;
452;B000013652;B000014335;Responsabile dell'attività di intermediazione;
453;B000013612;B000014344;Responsabile dell'attività di intermediazione;
454;B000013328;B000741066;Responsabile dell'attività di intermediazione;
455;B000140120;B000714376;Rappresentante Legale;
456;B000140120;B000661942;Responsabile dell'attività di intermediazione;
457;B000070758;B000050424;Responsabile dell'attività di intermediazione;
458;B000013706;B000431310;Responsabile dell'attività di intermediazione;
459;B000013812;B000362679;Responsabile dell'attività di intermediazione;
460;B000173713;B000169868;Responsabile dell'attività di intermediazione;
461;B000080121;B000579509;Rappresentante Legale;
462;B000091165;B000548946;Responsabile dell'attività di intermediazione;
463;B000058731;B000114899;Responsabile dell'attività di intermediazione;
464;B000126679;B000186487;Rappresentante Legale;
465;B000063130;B000063137;Responsabile dell'attività di intermediazione;
466;B000181628;B000118045;Rappresentante Legale;
